Id-Doc,ArabicTitle,EnglishTitle
D162, أتمتة إيصال الأنسولين إلى مرضى السكر ,Automated Insulin Delivery to Diabetic Patients
D163, الية vhdl المؤلفة من ahpl ,Automated VHDL Composition from AHPL
D164, التعرف الالي على الصكوك العربية المكتوبة يدويا ,Automatic Arabic Handwritten Check Recognition
D165, التصنيف التلقائي للكلام والموسيقى في الصوت المرقم ,Automatic Classification of Speech & Music in Digitized Audio
D166, الالتقاط الالي للموجات الأولية الارتدادية باستخدام معدلات الطاقة ,Automated capture of reverberated primary waves using energy rates
D167, استخدام المعدات والمواد الموفرة للطاقة ,Use of energy efficient equipment and materials
D168, جهاز فوترة آلي للخدمات العامة ,Automatic billing device for public services
D169, نظام AutoVLSI : نظام تخطيط لتصميمات VLSI العامة للخلية ,AutoVLSI SYSTEM: A Layout System for General-Cell VLSI Designs
D170, التصميم الخلفي لنظام نمطى للتركيب العالي ,BACK-END DESIGN OF A FORMAL HIGH LEVEL SYNTHESIS SYSTEM
D171, قواعد الاتصال الاكفا للطاقة و مدى الترددات للشبكات اللسلكية في وجود قنوات   متلاشية ,Bandwith and Power Efficient Routing protocols for wireless Ad Hoc Networks in the presence of Fading Channel
D172, تحديد القياسات الأولية لكمية المبيدات الحشرية العضوية الكلورية والفسفورية في   الخليج العربي ,Baseline Monitoring of Selected Organochlorine Pesticides (OCPs) and Organophosphorus Pesticides (OPPs) in the Arabian Gulf
D173, التنبؤ البايزي لنموذج الانحدار الخطي المتعدد مع الارتباط التلقائي من الدرجة الأولى ,Bayesian Prediction for the Multiple Linear Regression Model with First Order Autocorrelation
D174, تخمين Bazzoni-Glaz حول البعد العام الضعيف للحلقات الغاوسية ,Bazzoni-Glaz Conjecture on the Weak Global Dimension of Gaussian Rings
D175, سلوك نموذج مجموعة الخوازيق المحملة لاحقا في الرمال ً ,BEHAVIOR OF LATERALLY LOADED PILE GROUP MODEL IN SAND
D176, سلوك الموجات النافذة في أوساط التكبير ,BEHAVIOR OF TRANSMITTED WAVE IN GAIN MEDIA
D177, مقارنة أداء نظم الصيانة في بروكتر و غامبل ,Benchmarking Maintenance Systems in Procter and Gamble
D178, مقاييس وتقييم تقنية البصمة المائية في البرمجيات ,BENCHMARKING FRAMEWORK FOR SOFTWARE WATERMARKING
D179, خوارزمية معادلة أعمى مع إجراء متغير حجم الخطوة ,A Blind Equalization Algorithm With Variable Step-Size Procedure
D180, المعالجة البيولوجية للملوثات الخطرة في تسلسل المفاعلات الدفعية ,BIOLOGICAL TREATMENT OF HAZARDOUS CONTAM INANTS IN SEQUENCING BATCH REACTORS
D181, الخصائص الحيوية كأداة لمعايرة الاتصال الرسمي الجوراسي في الجبيله العربية من   OUTCROP في منطقة الرياض إلى السطح في شرق المملكة العربية السعودية ,BIOFACIES AS A TOOL FOR CALIBRATING THE JURASSIC JUBAILA-ARAB FORMATIONAL CONTACT FROM OUTCROP IN RIYADH AREA TO SUBSURFACE IN EASTERN SAUDI ARABIA
D182, الفصل الثنائي بواسطة عمليات امتزاز الضغط المتراجع ,Duodenal separation by means of compressive stresses
D183, ظاهرة التفرع في امتصاص الغاز المتفاعل غير ثابت الحراره ,BIFURCATION PHENOMENA IN NON-ISOTHERMAL REACTIVE GAS ABSORPTION
D184, السندات والمتانة للقضبان الفولاذية المطلية بالإيبوكسي الملتصقة بالانصهار ,BOND AND DURABILITY OF FUSION-BONDED EPOXY-COATED STEEL BARS
D185, السيطره الحدية للمعادلات التفاضلية الجزئية المكافأه ,Limit control of equivalent partial differential equations
D186, السيطرة الحدية للمعالات التفاضلية الجزئية المكافئة غير الخطية ,Boundary Control of Nonlinear Parabolic PDEs
D187, الخطية المحلية وغير المحلية من أكواد الدرجة الثانية القياسية في الشكل العادي ,local and non-local linearization of scalar second order odes in the normal form
D188, تحليل عنصر الحدود للحزم واللوحات غير المنشورية ,Boundary Element Analysis of Non-Prismatic Beams and Plates
D189, الانقطاع في الحلول الكلاسيكسة لنظام يصف الانتشار الحراري بواسطة الموجة الثانية ,Discontinuation of classical solutions for a system describing the thermal propagation by the second wave
D190, إزالة البرومات من الماء باستخدام الكربون المنشط (AC) والأنابيب النانوية الكربونية   المعدلة متعددة الجدران (MWCNT) ,Bromate Removal From Water Using Activated Carbon (AC) and Modified Multi-walled Carbon Nanotubes (MWCNT)
D191, دراسة إمكانية زيادة قوة التحمل على الاعمدة الحديدية المترابطة ,Studying the possibility of increasing the durability on interconnected iron pillars
D192, نماذج رياضية لحساب تكلفة انشاء مشاريع المدارس الحكومية في المملكة العربية   السعودية ,Mathematical models to calculate the cost of construction of public school projects in the Kingdom of Saudi Arabia
D193, دائرة اختبار ذاتية لاختبار ذاكرة مخططات التوزيع ,Self test circuit to test memory distribution schemas
D194, أساس - C نظام التجميع عالية المستوى ,A C-Based High-Level Synthesis System
D195, الفصل السائب لمخاليط الغازات الثنائية عن طريق ضغط التأرجح بالضغط ,BULK SEPARATION OF BINARY GAS MIXTURES BY PRESSURE SWING ADSORPTION
D196, حساب الانسياب المضطرب و انتقال الحرارة داخل القنوات المتسعة و المنضغطة   دوريا ,Calculations of Turbulent Flow and Heat Transfer in Periodically Converging-Diverging Channels
D197, تأثيرات الطفو على توليد الإدخال بسبب النقل اللاميني المختلط في القنوات العمودية ,BUOYANCY EFFECTS ON ENTROPY GENERATION DUE TO LAMINAR MIXED CONVECTION IN VERTICAL CHANNELS
D198, حسابات تدفق السوائل وانتقال الحرارة في القنوات ,CALCULATIONS OF FLUID FLOW AND HEAT TRANSFER IN EXPANDING DUCTS
D199, المعايرة و التحقق من صحة نموذج المحاكاة المجهري لظروف حركة المرور في   مدينة الخبر بالمملكة العربية السعودية ,CALIBRATION AND VALIDATION OF PARAMICS MICROSCOPIC SIMULATION MODEL FOR LOCAL TRAFFIC CONDITION IN SAUDI ARABIA
D200, معيرة نموذج vissem في حركة المرور في كل من الخبر و الدمام بالمملكة العربية   السعودية ,"CALIBRATION OF VISSIM TO THE TRAFFIC CONDITIONS OF KHOBAR AND DAMMAM, SAUDI ARABIA"
D201, إلغاء الفصوص المحززة في صفائف الهوائي الخطي الممسوحة ضوئيًا باستخدام   الخوارزمية الجينية ,cancellation of grating lobes in scanned linear antenna arrays using genetic algorithm
D202, سعى الوها المقطعة بتاثير اضمحلال ناكاقامي ,capacity of slotted aloha under nakagami fading
D203, دراسة الكربون -13 والنيتروجين -15 والفوسفور -31 بالرنين المغناطيسي النووي   للتخليط وتفاعلات الأكسدة والاختزال لبعض مجمعات الذهب (I) ,"Carbon-13, nitrogen-15, and phosphorus-31 NMR study of the scrambling and the redox reactions of some gold(I) complexes"
D204, تكربن السبانك المكونة أساسا من الحديد عند تعرضها لخليط من غازي الميثان و   الهيدروجين ,carburization behavior of iron based alloys in methane / hydrogen gas mixtures
D205, دراسة حسابية و عملية لتفاعل اول أكسيد الكربون مع الالكاينات في وجود مادة الأمين   و المحفز بوركبات عنصر الباليديوم ,catalytic carbonylation of terminal alkyne with amine: computational and experimental investigations of regioselectivity
D206, التكسير الحفزي للزيت المفرغ : تأثير الإضافات و التأثير الكيناتيكي ,cracking of vgo to produce olefins: effect of additives
D207, الأسباب المؤثرة في فشل المقاولين ,causes of contractors’ failures in saudi arabia
D208, سلسلة البلمرة المحفز الحفاز للميتاكريلات والستايرين ,catalytic chain transfer polymerization of methacrylates and styrene
D209, النمذجة الكنسية للبلاستيك المرن للضرر للخرسانة المسلحة ,canonical elastoplstic - damage modelling of reinforced concrete
D210, النشاط الالكتروحفزي لحفازات الكربون المسامي المعدل في تفاعل اكسدة حمض   الفورميك ,electrocatalytic activity of ce/w modified mesoporous carbon supported pt-pd catalysts for formic acid oxidation
D211, عوامل نقل السلسلة: التوصيف واستخدامها في تفاعلات البلمرة ,chain transfer agents: characterization and their use in polymerization reactions
D212, دراسة حول أسباب حوادث الرحلات العملية للمعلمات في المملكة العربية السعودية ,causes of female teacher work trip accidents in the kingdom of saudi arabia
D213, المعوقات المؤثرة على تطبيق منظومة إدارة المبنى في المباني الإدارية ,challenges affecting the implementation of building management systems in office buildings
D214, تغيير الأوامر في مشاريع البناء في المملكة العربية السعودية ,change orders in construction projects in saudi arabia
D215, تصنيف قنوات البث الميكرويفي في المنطقة الجنوبية من المملكة العربية السعودية ,channel characterization of radio links in the southern region of saudi arabia
D216, تقدير القناة في أنظمة ال OFDM ,channel estimation in OFDM systems
D217, خصائص السائقين الشباب المتسببين في ارتكاب حوادث الطرق في منطقة الدمام   الحضرية ,characteristics of young drivers involved in the road accidents in dammam metropolitan area
D218, تعيين خواص التربة المنتفخة في المنطقة الشرقية من المملكة العربية السعودية ,characterization of expansive soils in the eastern province of saudi arabia
D219, التمثيل القنواتي و تحليل الأداء لقنوات ناكاجامي الموجهة و ذات السعة العالية ,channel modeling and performance analysis of directive wideband nakagami fading channels
D220, تحديد و تنقية مياه من مخلفات الصناعات البتروكيماوية لاجل إعادة الاستعمال ,characterization and treatment of a petrochemical wastewater for reuse
D221, خصائص تدفق الزيوت والمياه والغازات معا في الأنابيب الأفقية ,characterization of gas-oil-water in a horizontal pipeline
D222, دراسة خواص مواد حفازة محتوية على الزيولايت بواسطة تفاعل تكسير الهكسان ,characterization of catalytic materials containing zeolites using w-hexane cracking reaction
D223, توصيف الخرسانة العالية الأداء ,characterization of an ultra-high performance concrete
D224, تقييم و تثبيت التربة الجيرية الموجودة في شرق المملكة العربية السعودية ,characterization and stabilization of eastern saudi marls
D225, وصف مثبطات التآكل العضوية رواية ظروف المتدفقة ,characterization of novel organic corrosion inhibitors under flowing conditions
D226, دراسة البولي اثيلين و مركبات الرماد المتطاير و اثر السطح بالرماد المتطاير على   خصائص المركب ,characterization of polyethylene/fly ash composites and impact of surface modification of fly ash on composite properties
D227," توصيف مكامن صخور الاساس المتكسرة، حوض ملوط، جنوب شرق السودان ","characterization of fractured basement reservoir, melutbasin, southeast sudan"
D228, خصائص تدفق الزيوت والمياه في الأنابيب الأفقية ,Characterization of Oil/Water Flows in Horizontal Pipes
D229, توصيف المناخل الجزيئية عن طريق تكسير n - الهكسان ,characterization of molecular sieves by n-hexane cracking
D230, التأثيرات المعتمد على القوات النووية ,charge dependent effects on nuclear forces
D231, تحديد الخواص الحامضية لمواد الزيولايت و تاثيرها الحفزي في انتاج مادة ميثيل ثالث   بيوتيل الاثير ,characterization of the acidic properties of zeolites and their catalytic behavior in the synthesis of mtbe
D232, توصيف عدم التوافق في وسط وشرق المملكة العربية السعودية ,characterization of the hercynian unconformity in central and eastern saudi arabia
D233, التقاط الالكترونات من الذرات الهيدروجنية بواسطة البوزيترون و الميون الموجب ,electron capture from hydrogenic systems by positrons and positive muons
D234, استقرار كيميائي في منطقة القريا شرق السبخة الشرقية ,chemical stabilization of al qurayyah eastern saudi sabkha soil
D235, دراسة حويصلات وخصائص التنقيط لعضو الحجر الجيري العثمانية العربي (D) حقل   الغوار النفطي ,Lithofacies and diagenetic study of the Uthmaniyah Arab-D Limestone Member (Ghawar oil field)
D236, تصنيف طرق إعادة البناء للبرامج الموجهة نحو الجانب بناء على سمات جودة البرنامج ً ,classification of refactoring methods for aspect oriented programming based on software quality attributes
D237, تصنيف طرق إعادة البناء على أساس سمات جودة البرمجيات ,classification of refactoring methods based on software quality attributes
D238," المطثية العسيرة: تقييم الإصابة ومعرفة تدابير مكافحة العدوى بين العاملين في مجال   الرعاية الصحية في مرفق الرعاية الثالثية بالرياض ، المملكة العربية السعودية ","clostridium difficile: incidence and knowledge assessment of infection control measures among health care workers in a tertiary care facility in riyadh, saudi arabia"
D239, خوارزمية قائمة على التجمع لمشكلة الشجرة المستقيمة ,a clustering-based algorithm for the rectilinear steiner tree problem
D240, مرشحات النطاق الترددي المكمل لمستقبل منخفضة إذا بلوتوث ,cmos bandpass filters for low-if bluetooth receiver
D241, الحصول على الكود في تحسين أنظمة 36 ds-cdma وتنفيذ DSP ,Code acquisition in ds-cdma systems optimization 36 and dsp implementation
D242, تقييم العديد من مثبطات التآكل العضوية عن طريق قياس تدفق نفاذ الهيدروجين ,chronoamperometric evaluation of several organic corrosion inhibitors by the measurement of the hydrogen permeation flux
D243, تقنيات الدوائر CMOS للتطبيقات الطبية الحيوية ,cmos circuit techniques for biomedical applications
D244, انتشار الكلوريد في التنبؤ الملموس لظهور التآكل في الهياكل الخرسانية المسلحة ,chloride diffusion in concrete prediction of the onset of corrosion in reinforced concrete structures
D245, تحسين كيميائي وتطوير الحركية في تحليل حقن التدفق ,chemometric optimization and kinetic developments in flow injection analysis
D246, الجوانب الكيميائية لعدم الاستقرار الحراري في وقود الطائرات النفاثة من الزيوت   الخام السعودية-العربية ,chemical aspects of thermal instability in jet fuels from saudi-arabian crude oils
D247, تحديد حلقة مغلقة للمراقبة التنبؤية النموذجية: دراسة حالة ,closed loop identification for model predictive control: a case study
D248, انتشار شقوق الكلال التاكلي و تاثير مثبط الكروميت في الفولاذ المقاوم للصدا الثنائي   الطور ,corrosion fatigue crack propagation and cjtromate inhibition of duplex stainless steel
D249," التآكل ، والخصائص الهيكلية والميكانيكية الدقيقة من سبائك ملغم المتقدمة مع   الإضافات sc و zr في درجات حرارة مرتفعة ","corrosion, micro structural and mechanical characteristics of advanced al-mg alloys with sc and zr additions at elevated temperatures"
D250, التآكل من سوائل الحفر قاعدة المياه في الآبار العميقة والحارة ,"corrosivity of water-base drilling fluids in deep, hot wells"
D251, تصميم فعال من حيث التكلفة من محول توزيع النوع التقليدي باستخدام تقنيات التحسين ,cost effective design of conventional type distribution transformer using optimization techniques
D252, الحماية من التآكل من الكربون الصلب بواسطة طلاء أكسيد الألومنيوم نانو باستخدام   تقنية البلازما حل الحل ,corrosion protection of carbon steel by aluminum oxide nano coatings using solution plasma spray technique
D253, الاهتزاز الالتوائي الانحناء المتزامن للأعمدة الدورانية باستخدام عنصر محدود ,coupled bending torsional vibration of rotating shafts using finite element
D254," ممارسة تقدير التكاليف للمباني من قبل الشركات في المحافظة الشرقية ، المملكة   العربية السعودية ","cost estimation practice for buildings by firms in the eastern province,saudi arabia"
D255, استراتيجيات الصيانة القائمة على الموثوقية للتبادلات الحرارية المعرضة للقاذورات ,Reliability-based maintenance strategies for heat exchanges subject to fouling
D256, انتشار الكراك في cp vc عند درجات حرارة مختلفة ,crack propagation in cp vc at different temperatures
D257, تعدين البيانات في تحديد خواص كربونات ونفاذية من سجلات الآبار على أساس   أنظمة الاستدلال المنطقي الضبابي من النمط 1 والنوع 2: المنهجية والدراسات المقارنة ,data mining in identifying carbonate lithofacies and permeability from well logs based on type-1 and type-2 fuzzy logic inference systems: methodology and comparative studies
D258, رسم خرائط مدفوعة بالبيانات وتخفيف للانعراجات القريبة من السطح ,data driven mapping and attenuation of near-surface diffractors
D259, الحفر المبرد لرقائق كيفلر المركبة TM ,cryogenic drilling of kevlar composite laminates tm
D260, اختيار المكونات وخطوط الأنابيب باستخدام تطور عشوائي ,component selection and pipelining using stochastic evolution
D261, معايير الامتثال لجودة الخرسانة ,compliance criteria for quality concrete
D262, خطة تفتيش كاملة للمكونات الهامة ,a complete inspection plan for critical components
D263, مقارنة بين المنخربات الحديثة والميوسينية من شرق المملكة العربية السعودية ,comparison of recent and miocene foraminifera from eastern saudi arabia
D264, مقارنة بين الامتصاص الثنائي للبروبان والبيوتانيد على الزيوليت a  5 و 13 x ,comparison of binary sorption of propane and n-butane on 5a and 13x zeolites
D265, مقارنة الإجراءات المقبولة لتحديد الجدول الزمني وتأثير التكلفة ,comparison of accepted procedures for determining schedule and cost impact
D266, دراسة مقارنة للطرق الحسابية لحل معادلات تدفق الخزان ثنائية الأبعاد ,comparative study of computational methods for the solution of the two-dimensional reservoir flow equations
D267, دراسة مقارنة للطرق المختلفة للسيطرة على الاهتزاز في نظم تحمل الدوار ,comparative study of different methods of vibration control of rotor bearing systems
D268, تحليل مقارن للتقنيات الذكية للكشف عن تسيير الانترنت الشاذ c ,a comparative analysis of intelligent techniques for detecting anomalous internet tra c
D269, الاتصال عبر قنوات الخبو مع إزاحة التردد ,communication over fading channels with frequency offsets
D270, تخطيط نظام الطاقة المركبة في بيئة تنافسية ,composite power system planning in a competitive environment
D271, أثر التداخلات الكهرومغناطيسية المتولدة من خطوط نقل الطاقة ذات الجهد العالي على   خطوط الأنابيب والاتصالات المدفونة ,electromagnetic interference caused by a high voltage transmission network on buried pipelines & communication cables
D272, دراسة حسابية للسلوك التشكيلي والتحليلات لأطياف الذبذبات لبعض الكيتونات ,computational study of conformational behavior and analyses of vibrational spectra of some ketenes
D273, دراسة حسابية لحقل التدفق من خلال سلسلة من الجسيمات الهوائية ناكا 0012 ,computational study of the flowfield through a cascade of naca 0012 airfoils
D274, النمذجة الحاسوبية للانكماش في الخرسانة التي تم إصلاحها ,computational modelling of shrinkage in repaired concrete
D275," النمذجة الحسابية للعلاج الكيميائي ، نمذجة تآزر المتانة في الخرسانة ",computational chemo-damage transport modeling of durability synergies in concrete
D276, حساب التفردات في b.v.p.'s باستخدام الفروق المحدودة مع حذف الكتلة ,computation of singularities in b.v.p.’s using finite differences with block-elimination
D277, نهج استشعار مضغوط لتقدير القناة من أجل اتصالات الموجات الراديوية فائقة الاتساع   الراديوية الراديوية النبضية ,a compressed sensing approach to channel estimation for impulse radio ultra wideband ir-uwb communication
D278, حسابات التدرج التركيبية لخزان تكثيف الغاز العربي السعودي ,compositional gradient calculations for a saudi arabian gas condensate reservoir
D279, النمذجة بمساعدة الحاسوب ومحاكاة تدفق الخرسانة ذاتية الانضغاط ,computer-aided modeling and simulation of flow of self compacting concrete
D280, اختبار تكيفي محوسب باستخدام الشبكات العصبية ,computerized adaptive testing using neural networks
D281, نموذج AHP المحوسب لحل مشكلة قرار العطاء / عدم العطاء ,computerized ahp model for solving bid/no-bid decision problem
D282, نظام تقدير مفاهيمية محوسبة لمشروعات إمدادات المياه المحلية ,computerized conceptual-cost-estimating system for domestic water supply projects
D283, استخدام الكمبيوتر من قبل مقاولي البناء في المملكة العربية السعودية ,computer utilization by construction contractors in saudi arabia
D284, نموذج صنع القرار متعدد المعايير المحوسب لتخطيط المشاريع وتنفيذها ,computerized multiple criteria decesion making model for projects planning and implementation
D285, نموذج تعليمات بمساعدة الكمبيوتر للغات البرمجة الإجرائية ,computer aided instruction model for procedural programming languages
D286, نموذج مفاهيمي لاختيار الاستشاري في المملكة العربية السعودية ,a conceptual model for consultant selection in saudi arabia
D287, التزامن في ملفات الشبكة القائمة على الاستيفاء ,concurrency in interpolation based grid files
D288, عملية تسخين بالليزر محدودة التوصيل وغير التوصيل - محاكاة رياضية ,conduction and non-conduction limited laser heating process- mathematical simulation
D289, كتل بناء تناظرية قابلة للتكوين للمصفوفات التناظرية القابلة للبرمجة الميدانية ,configurable analog building blocks for field programmable analog arrays
D290, إدارة الازدحام في شبكة النقل باستخدام ستاتكوم ,congestion management of transmission network using statcom
D291, نقل الحرارة بالحمل القسري المترافق في الحلقات اللامتراكزة ,conjugate forced convection heat transfer in eccentric annuli
D292, إصلاح الخرسانة مع الخرسانة المرشوشة دخان السيليكا ,concrete repair with silica fume shotcrete
D293, تصميم الخلطة الخرسانية للطقس الحار ,concrete mix design for hot weather
D294, نقل الحرارة بالحمل الحر المتقارن في الحلقات الرأسية اللامتراكزة ,conjugate free convection heat transfer in vertical eccentric annuli
D295, نقل الحرارة بالحمل الطبيعي المترافق في الحلقات الرأسية متحدة المركز ,conjugate natural convection heat transfer in vertical concentric annuli
D296, مراقبة تكاليف البناء في المنطقة الشرقية من المملكة العربية السعودية ,construction cost control in the eastern province of saudi arabia
D297, نموذج للتكلفة الكلية لمرافق مياه التحلية الصغيرة بطريقة التناضح العكسي ,a life cycle costing model for small reverse osmosis water treatment facilities
D298, تمويل البناء في المملكة العربية السعودية ,construction financing in saudi arabia
D299, التنبؤ بالتدفق النقدي لأصحاب المشاريع الانشائية ,construction project cash flow prediction for owners
D300, التحكم في الازدحام المدرك للمحتوى على شبكات mpls لنقل الوسائط المتعددة ,content-a ware congestion control over mpls networks for multimedia transmission
D301, تحكم مستمر تقريبي - الوقت الأمثل لآلية مؤازرة من الدرجة الثالثة لها نبات بثلاثة   جذور حقيقية ,continuous proximate time-optimal control for a third order servomechanism having a plant with three real roots
D302, توزيع مخاطر العقود في مشاريع البناء بالمملكة العربية السعودية ,contract risk allocation in saudi arabian construction projects
D303, نموذج متصل للموجات المرنة في مركبات الأنابيب النانوية الكربونية المدمجة ,a continuum model for elastic waves in embedded carbon nanotube composites
D304, التأهيل المسبق للمقاول: نموذج محوسب للمشروعات العامة في البحرين ,contractor prequalification: a computerized model for public projects in bahrain
D305, خوارزميات التحكم للنظم الصناعية الموزعة الشبكية ,control algorithms for distributed networked industrial systems
D306, التحكم وتقدير شبكات الاتصالات غير الموثوق بها ,control and estimation over unreliable communication networks
D307, مضبوط الحجم (23-  MTT (zsm زيوليت للتكسير التحفيزي ,controlled size mtt (zsm-23) zeolites for catalytic cracking
D308, ضوابط محسّنة لتقليل الحمل الحراري ,Optimized controls to minimize the heat load
D309, السيطرة على التآكل في الفولاذ باستخدام ألياف النانو متعدد الطبقات ,control of corrosion in steel using polyelectrolyte multilayer nanofilms
D310, ضبط التاكل في حديد الستانليس ستيل باستعمال البولي الكترولايت ,control of corrosion in stainless steel using polyelectrolytes multilayer
D311, ً تقييم أنظمة جودة المقاولين وفقا لمعيار 9000 ISO ,Contractors quality systems-assessment to the ISO 9000 standard
D312, مخططات الإرسال التعاوني للوصلة الصاعدة لأنظمة mimo اللاسلكية ,cooperative uplink transmission schemes for wireless mimo systems
D313, خصائص نقل الحرارة بالحمل الحراري في الأسرة المعبأة المستطيلة ذات التسخين   غير المتماثل ,convective heat transfer characteristics in the rectangular packed beds with asymmetric heating
D314, استعادة النحاس من مياه الصرف الصحي باستخدام مفاعل أسطواني كهروكيميائي دوار ,copper recovery from wastewater using an electrochemical rotating barrel reactor
D315, تنسيق طريقة البحث لتحسين تدفق الحرارة على قرص إنشائي ,coordinate search method to optimize heat flow on a constructal disc
D316, سلوك التآكل من الفولاذ الطري في ظل الظروف الجوية وتسارع بعد العلاج عن   طريق العديد من الحلول المانع ,corrosion behavior of mild steel under atmospheric and accelerated conditions after treatment by several inhibitor solutions
D317, معايير الحماية الكاثودية للصلب في الخرسانة في سياق بيئة الخليج العربي ,criteria for cathodic protection of steel in concrete in the context of arabian gulf environment
D318, الآثار المترتبة على متغيرات التصميم المعماري ,cost implications of architectural design variables
D319, مرشح عام ومذبذب قائم على الناقل الحالي ,current conveyor-based universal filter and oscillator
D320, تفاعلات الاظافة الحلقية لمركبات سيانوكيتين ,cyanoketene cycloaddition reactions
D321, مخطط الإنتاج الدوري لتحسين أداء الخزان ,cyclic production scheme to improve reservoir performance
D322, تفاعلات الحمل الحلقية للنيترون الحلقية غير المتجانسة ,cycloaddition reactions of a heterocyclic nitrone
D323, البلمرة الحلقية لمركبات البيرزينيوم غير المشبعة ,cyclo polymerization of unsaturated quaternary piperazinium compounds
D324, تعزيز التخميد لنظام الطاقة متعدد الآلات من خلال التحكم في ستاتكوم ,damping enhancement of multimachine power system through statcom control
D325, تصميم مخصص وتنفيذ عقدة مستشعر لاسلكي ونظام Mac الموفر للطاقة   وبروتوكولات التوجيه ,"custom design and implementation of a wireless sensor node, energy-efficient mac and routing protocols"
D326, تقنية اكتساب الرموز باستخدام الفلاتر التكيفية في الاتصالات اللاسلكية ,code acquisition technique using adaptive filters in wireless communication
D327, مولد تعليمات حاسبات الفاكس للغة الضاد ,code generation for dhad on vax
D328, آلة الاتصال المعرفية ذاتية البناء ,the cognitive self-structuring connectionist machine
D329, المعادلات القائمة على التماسك للدراسات الديناميكية طويلة المدى ,coherence based equivalents for long-term dynamic studies
D330, وكيل واجهة مستقلة تعاونية للبحث على شبكة الإنترنت الشخصية ,collaborative autonomous interface agent for personalized web search
D331, التعرف على الوجه بالألوان باستخدام تحليل مكون مبدأ quaternion ,color face recognition using quaternion principle component analysis (q-pca)
D332, التعرف على قزحية الألوان ومطابقتها باستخدام موجات الجابون quaternion ,color iris recognition and matching using quaternion gabor wavelets
D333, العمليات المركبة بين الأكسدة الكهربائية والتخثير الكهربي لمعالجة مياه الصرف   الصحي للبلدية ,combined electrooxidation and electrocoagulation processes for the treatment of municipal wastewater
D334, الجمع بين المصنفات باستخدام نظرية ديمبستر شيفر للأدلة ,combining classifiers using the dempstershafer theory of evidence
D335, الاتصالات الحرة إدارة الشحن من المركبات الكهربائية تحت قيود الشبكة ,communication free charging management of electric vehicles under grid constraints
D336, مقارنة حجم الهيدروكربون بين (تحليل الرمل الرقائقي) والتقنيات القياسية في خزانات   الحجر الرملي ذات المقاومة المنخفضة ,comparing hydrocarbon volume between lsa (laminated sand analysis) and standard techniques in low resistivity sandstone reservoirs
D337, قياس الجهد الكهربائي التفاضلي ككاشف محتمل لتحليل الحقن المتسلسل و HPLC ,differential electrolytic potentiometry as a potential detector for sequential injection analysis and hplc
D338, التحكم اللامركزي على الأنظمة الديناميكية المترابطة ,decentralized control of interconnected dynamical systems
D339, معالج تدفق البيانات لشبكات الانتشار العصبية الخلفية: الهندسة المعمارية وتقييم الأداء ,dataflow processor for back propagation neural networks: Civil Engineering and performance evaluation
D340, عوامل القرار للاستعانة بمصادر خارجية لخدمات الصيانة في الجامعات السعودية ,decision factors for outsourcing the maintenance services of saudi universities
D341, معادلة ردود الفعل على القرار باستخدام هياكل الشبكة العصبية الهجينة ,decision feedback equalization using hybrid lattice-neural network structures
D342, تدهور ميثيل ثلاثي الإيثيل بوتيل باستخدام الأشعة فوق البنفسجية / ثاني أكسيد   التيتانيوم والأنابيب النانوية الكربونية متعددة الجدران ,degradation of methyl tertiary butyl ether using uv/titanium dioxide and multi-walled carbon nanotubes
D343, التأخير في بناء مشاريع المرافق العامة في المملكة العربية السعودية ,delay in the construction of public utility projects in saudi arabia
D344, سلوك درجة حرارة الكثافة من المخاليط الهيدروكربونية الثنائية والمحددة النقية   والمحددة ,density temperature behavior of pure and defined binary and ternary hydrocarbon mixtures
D345, نشر خدمات التشغيل الثلاثي عبر شبكات IP الموجودة ,deploying triple-play services over existing ip networks
D346, تصميم وتحليل شبكة هرمية متسامحة ومتعددة الأطراف ,"design and analysis of a hierarchical, fault-tolerant, multicomputer network"
D347, تصميم وتحليل المعالجات المشفرة ذات المنحنى الإهليلجي الفعال والآمن ,design and analysis of efficient and secure elliptic curve cryptoprocessors
D348, تصميم وتحليل نظام الأرصاد الجوية الآلية لمملكة المملكة العربية السعودية ,design and analysis of the automated meteorological system for the kingdom of saudi arabia
D349, الأصل و البيئات الترسيبية لحجر وجيد الرملي منطقة ابها خميس مشيط جنوب غرب   المملكة العربية السعودية ,"depositional environments and provenance of the wajid sandstone, abha-khamis mushayt area, southwestern saudi arabia"
D350, تصميم وتصنيع طائرتين جالستين مع جناح متقدم دوار متطور ,design & fabrication of two seated aircraft with an advanced rotating leading edge wing
D351, تصميم وتحليل مفتاح التسامح مع الخطأ لـ b-isdn ,design and analysis of a fault tolerant switch for b-isdn
D352," تصميم وبناء محرقة سائلة ، طريقة جديدة للقياسات الكيميائية السريعة ومراقبة التغذية   المرتدة ","design and construction of a liquid incinerator, a novel method for fast chemical measurements and feedback control"
D353, تصميم وتقييم بروتوكول اتصالات p2p موثوق لشبكات ieee 802.11b ,design and evaluation of a reliable p2p communication protocol for ieee 802.11b networks
D354, تصميم وتنفيذ حلقات تتبع شفرة cdma الرقمية بالكامل ,design and implementation of all-digital cdma code tracking loops
D355, تصميم وتحليل شبكة أجهزة الصراف الآلي عالية الأداء التي تتحمل الأخطاء ,design and analysis of a high-performance fault-tolerant atm network
D356, تصميم ونمذجة مضاعفات الوحدات عالية السرعة لأنظمة التشفير ,design and modeling of high speed modulo multipliers for cryptosystems
